STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 97.0
Launch Date (YYYYMMDD)           : 20090828
Launch Time (UTC)                : 23:53
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1010.150	289.319	48.062	3.206	31.741	0.151	9000.000	9000.000	9000.000	9000.000	288.488	302.489	5.64549
0.2	998.326	288.341	50.435	3.300	33.055	0.454	9000.000	9000.000	9000.000	9000.000	288.479	302.465	5.61948
0.3	986.547	287.373	53.442	3.300	33.450	0.754	9000.000	9000.000	9000.000	9000.000	288.484	302.600	5.65129
0.4	974.888	286.409	55.854	3.300	33.850	1.060	9000.000	9000.000	9000.000	9000.000	288.491	302.540	5.60441
0.5	963.311	285.436	58.757	3.300	34.257	1.355	9000.000	9000.000	9000.000	9000.000	288.492	302.553	5.58913
0.6	951.986	284.441	62.023	3.200	33.614	1.679	9000.000	9000.000	9000.000	9000.000	288.455	302.549	5.58207
0.7	940.591	283.541	64.419	3.200	34.021	1.982	9000.000	9000.000	9000.000	9000.000	288.531	302.517	5.51965
0.8	929.343	282.545	68.524	3.200	34.433	2.277	9000.000	9000.000	9000.000	9000.000	288.505	302.622	5.55098
0.9	918.216	281.566	70.419	3.100	33.761	2.585	9000.000	9000.000	9000.000	9000.000	288.493	302.270	5.39740
1.0	907.138	280.640	75.048	3.100	34.174	2.886	9000.000	9000.000	9000.000	9000.000	288.541	302.530	5.46070
1.1	896.222	279.672	75.224	3.100	34.590	3.190	9000.000	9000.000	9000.000	9000.000	288.539	301.860	5.18079
1.2	885.361	278.996	69.304	3.100	35.014	3.481	9000.000	9000.000	9000.000	9000.000	288.842	300.734	4.60694
1.3	874.638	278.519	66.600	3.100	35.443	3.784	9000.000	9000.000	9000.000	9000.000	289.351	300.583	4.33427
1.4	863.922	277.893	58.957	3.100	35.883	4.088	9000.000	9000.000	9000.000	9000.000	289.717	299.384	3.71470
1.5	853.340	277.190	55.333	3.100	36.328	4.390	9000.000	9000.000	9000.000	9000.000	289.999	298.782	3.36058
1.6	842.971	276.721	44.771	3.100	36.775	4.689	9000.000	9000.000	9000.000	9000.000	290.519	297.509	2.66181
1.7	832.617	276.185	36.043	3.100	37.232	4.987	9000.000	9000.000	9000.000	9000.000	290.978	296.492	2.08813
1.8	822.300	276.659	4.913	3.200	38.915	5.300	9000.000	9000.000	9000.000	9000.000	292.514	293.343	0.29806
1.9	812.300	276.723	2.729	3.200	39.395	5.614	9000.000	9000.000	9000.000	9000.000	293.604	294.096	0.16845
2.0	802.345	276.605	2.000	3.145	39.205	5.912	9000.000	9000.000	9000.000	9000.000	294.511	294.889	0.12393
2.1	792.467	276.483	2.000	3.167	39.971	6.233	9000.000	9000.000	9000.000	9000.000	295.422	295.805	0.12440
2.2	782.744	276.350	2.000	3.272	41.804	6.554	9000.000	9000.000	9000.000	9000.000	296.320	296.709	0.12477
